period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,680.9130491269286,0.0,-11.024909452425138
2,0,0.0,0.0,0.0,39.1433355994576,0.0,-11.024909452425138
3,0,0.0,0.0,483.39544507561425,0.0,5.836039190663969,0.0
4,0,0.0,0.0,391.4907493518538,0.0,5.836039190663969,0.0
5,0,0.0,0.0,350.31417395155086,0.0,5.836039190663969,0.0
6,0,0.0,0.0,330.12724100036127,0.0,5.836039190663969,0.0
7,0,0.0,0.0,0.0,231.89231964060986,0.0,-11.024909452425138
8,0,0.0,0.0,0.0,800.363122316588,0.0,-11.024909452425138
9,0,0.0,0.0,0.0,198.52192956880222,0.0,-11.024909452425138
10,0,0.0,0.0,0.0,697.5787357221852,0.0,-11.024909452425138
11,0,0.0,0.0,0.0,481.32274088489385,0.0,-11.024909452425138
12,0,0.0,0.0,0.0,385.90656869458047,0.0,-11.024909452425138
13,0,0.0,0.0,128.4466776797626,0.0,5.836039190663969,0.0
14,0,0.0,0.0,0.0,446.37795277179055,0.0,-11.024909452425138
15,0,0.0,0.0,0.0,389.0574951423671,0.0,-11.024909452425138
16,0,0.0,0.0,61.18964613922423,0.0,5.836039190663969,0.0
17,0,0.0,0.0,0.0,508.7232973375437,0.0,-11.024909452425138
18,0,0.0,0.0,218.26636669314067,0.0,5.836039190663969,0.0
19,0,0.0,0.0,0.0,217.84516566578202,0.0,-11.024909452425138
20,0,0.0,0.0,0.0,518.3612469842999,0.0,-11.024909452425138
21,0,0.0,0.0,9.23792893233704,0.0,5.836039190663969,0.0
22,0,0.0,0.0,0.0,869.6435560312897,0.0,-11.024909452425138
23,0,0.0,0.0,0.0,199.00440456300697,0.0,-11.024909452425138
24,0,0.0,0.0,0.0,257.4058252163781,0.0,-11.024909452425138
25,0,0.0,0.0,0.0,322.2359695778779,0.0,-11.024909452425138
26,0,0.0,0.0,0.0,656.6433881234957,0.0,-11.024909452425138
27,0,0.0,0.0,0.0,371.0609286101023,0.0,-11.024909452425138
28,0,0.0,0.0,0.0,297.5301704800096,0.0,-11.024909452425138
29,0,0.0,0.0,0.0,37.273527157298936,0.0,-11.024909452425138
30,0,0.0,0.0,47.98261389938041,0.0,5.836039190663969,0.0
31,0,0.0,0.0,0.0,146.9549920867535,0.0,-11.024909452425138
32,0,0.0,0.0,22.2500881765614,0.0,5.836039190663969,0.0
33,0,0.0,0.0,0.0,68.01652633170632,0.0,-11.024909452425138
34,0,0.0,0.0,0.0,188.8257812908488,0.0,-11.024909452425138
35,0,0.0,0.0,0.0,601.7671835184559,0.0,-11.024909452425138
36,0,0.0,0.0,0.0,667.069899156372,0.0,-11.024909452425138
37,0,0.0,0.0,0.0,526.1756639957598,0.0,-11.024909452425138
38,0,0.0,0.0,0.0,161.95957314173992,0.0,-11.024909452425138
39,0,0.0,0.0,0.0,338.59682773812955,0.0,-11.024909452425138
40,0,0.0,0.0,54.99230727448463,0.0,5.836039190663969,0.0
41,0,0.0,0.0,0.0,47.04381645626672,0.0,-11.024909452425138
42,0,0.0,0.0,0.0,655.3013313128308,0.0,-11.024909452425138
43,0,0.0,0.0,8.412932904619327,0.0,5.836039190663969,0.0
44,0,0.0,0.0,107.5853969877249,0.0,5.836039190663969,0.0
45,0,0.0,0.0,0.0,155.38574184666157,0.0,-11.024909452425138
46,0,0.0,0.0,0.0,533.655929824564,0.0,-11.024909452425138
47,0,0.0,0.0,36.946983421698576,0.0,5.836039190663969,0.0
48,0,0.0,0.0,33.086274114153554,0.0,5.836039190663969,0.0
49,0,0.0,0.0,0.0,219.40874053730522,0.0,-11.024909452425138
50,0,0.0,0.0,0.0,925.7165215245645,0.0,-11.024909452425138
51,0,0.0,0.0,0.0,647.16877360631,0.0,-11.024909452425138
52,0,0.0,0.0,0.0,126.90278516297441,0.0,-11.024909452425138
53,0,0.0,0.0,0.0,526.760242518053,0.0,-11.024909452425138
54,0,0.0,0.0,0.0,568.9126108459777,0.0,-11.024909452425138
55,0,0.0,0.0,0.0,397.62193093154275,0.0,-11.024909452425138
56,0,0.0,0.0,0.0,638.4838308769058,0.0,-11.024909452425138
57,0,0.0,0.0,100.99786339331763,0.0,5.836039190663969,0.0
58,0,0.0,0.0,0.0,2.6967466483503224,0.0,-11.024909452425138
59,0,0.0,0.0,0.0,1029.5174363038564,0.0,-11.024909452425138
60,0,0.0,0.0,0.0,494.4803342714746,0.0,-11.024909452425138
61,0,0.0,0.0,0.0,12.009739602340696,0.0,-11.024909452425138
62,0,0.0,0.0,0.0,249.63607314935993,0.0,-11.024909452425138
63,0,0.0,0.0,55.93912606785267,0.0,5.836039190663969,0.0
64,0,0.0,0.0,0.0,533.1238938337865,0.0,-11.024909452425138
65,0,0.0,0.0,0.0,1084.9543215440294,0.0,-11.024909452425138
66,0,0.0,0.0,0.0,616.9135453903109,0.0,-11.024909452425138
67,0,0.0,0.0,0.0,622.4789838017159,0.0,-11.024909452425138
68,0,0.0,0.0,0.0,294.9816247579974,0.0,-11.024909452425138
69,0,0.0,0.0,0.0,179.01410732397568,0.0,-11.024909452425138
70,0,0.0,0.0,0.0,462.1760208624797,0.0,-11.024909452425138
71,0,0.0,0.0,0.0,878.4160616875256,0.0,-11.024909452425138
72,0,0.0,0.0,62.54374985804596,0.0,5.836039190663969,0.0
73,0,0.0,0.0,0.0,507.1270554561995,0.0,-11.024909452425138
74,0,0.0,0.0,0.0,454.77511996584616,0.0,-11.024909452425138
75,0,0.0,0.0,0.0,652.4902249146536,0.0,-11.024909452425138
76,0,0.0,0.0,0.0,879.1853231565386,0.0,-11.024909452425138
77,0,0.0,0.0,0.0,433.8879883416161,0.0,-11.024909452425138
78,0,0.0,0.0,0.0,164.67993702854955,0.0,-11.024909452425138
79,0,0.0,0.0,0.0,325.93685277784033,0.0,-11.024909452425138
80,0,0.0,0.0,0.0,62.931446994533836,0.0,-11.024909452425138
81,0,0.0,0.0,12.207062317842777,0.0,5.836039190663969,0.0
82,0,0.0,0.0,0.0,304.8563163436802,0.0,-11.024909452425138
83,0,0.0,0.0,0.0,590.060467999931,0.0,-11.024909452425138
84,0,0.0,0.0,0.0,176.88216852294235,0.0,-11.024909452425138
85,0,0.0,0.0,0.0,883.6716032046985,0.0,-11.024909452425138
86,0,0.0,0.0,0.0,620.881015893925,0.0,-11.024909452425138
87,0,0.0,0.0,0.0,605.3005044614623,0.0,-11.024909452425138
88,0,0.0,0.0,0.0,598.7225978454959,0.0,-11.024909452425138
89,0,0.0,0.0,92.32534412157649,0.0,5.836039190663969,0.0
90,0,0.0,0.0,0.0,721.9200200181469,0.0,-11.024909452425138
91,0,0.0,0.0,0.0,999.5399184714282,0.0,-11.024909452425138
92,0,0.0,0.0,1.4360114089004758,0.0,5.836039190663969,0.0
93,0,0.0,0.0,0.0,641.7901356069872,0.0,-11.024909452425138
94,0,0.0,0.0,0.0,719.0792427916818,0.0,-11.024909452425138
95,0,0.0,0.0,0.0,177.91108317866804,0.0,-11.024909452425138
96,0,0.0,0.0,0.0,874.1914615883982,0.0,-11.024909452425138
97,0,0.0,0.0,0.0,628.6787153999969,0.0,-11.024909452425138
98,0,0.0,0.0,0.0,175.57652082011361,0.0,-11.024909452425138
99,0,0.0,0.0,0.0,982.6374141284309,0.0,-11.024909452425138
100,0,0.0,0.0,0.0,143.28405525907945,0.0,-11.024909452425138
101,0,0.0,0.0,0.0,642.5153194295779,0.0,-11.024909452425138
102,0,0.0,0.0,0.0,406.0288622125222,0.0,-11.024909452425138
103,0,0.0,0.0,0.0,670.28084409439,0.0,-11.024909452425138
104,0,0.0,0.0,15.857455517050104,0.0,5.836039190663969,0.0
105,0,0.0,0.0,0.0,917.9956536398918,0.0,-11.024909452425138
106,0,0.0,0.0,0.0,112.8260305184607,0.0,-11.024909452425138
107,0,0.0,0.0,0.0,120.04636944286176,0.0,-11.024909452425138
108,0,0.0,0.0,0.0,477.6782662506379,0.0,-11.024909452425138
109,0,0.0,0.0,0.0,242.3299828081915,0.0,-11.024909452425138
110,0,0.0,0.0,0.0,334.1735567332048,0.0,-11.024909452425138
111,0,0.0,0.0,64.7406078166797,0.0,5.836039190663969,0.0
112,0,0.0,0.0,0.0,100.96595411115732,0.0,-11.024909452425138
113,0,0.0,0.0,0.0,807.3666927906993,0.0,-11.024909452425138
114,0,0.0,0.0,0.0,939.5665005073234,0.0,-11.024909452425138
115,0,0.0,0.0,0.0,192.70235150686904,0.0,-11.024909452425138
116,0,0.0,0.0,0.0,778.4016221603388,0.0,-11.024909452425138
117,0,0.0,0.0,27.37703443028948,0.0,5.836039190663969,0.0
118,0,0.0,0.0,15.551114251529015,0.0,5.836039190663969,0.0
119,0,0.0,0.0,0.0,403.9113673180363,0.0,-11.024909452425138
120,0,0.0,0.0,0.0,153.88327432921065,0.0,-11.024909452425138
121,0,0.0,0.0,0.0,164.86734762630374,0.0,-11.024909452425138
122,0,0.0,0.0,0.0,664.3638079471235,0.0,-11.024909452425138
123,0,0.0,0.0,0.0,909.81926395811,0.0,-11.024909452425138
124,0,0.0,0.0,0.0,813.6142026815804,0.0,-11.024909452425138
125,0,0.0,0.0,0.0,316.97132126854416,0.0,-11.024909452425138
126,0,0.0,0.0,0.0,902.1576950624482,0.0,-11.024909452425138
127,0,0.0,0.0,0.0,856.1352442429071,0.0,-11.024909452425138
128,0,0.0,0.0,0.0,497.88442385134556,0.0,-11.024909452425138
129,0,0.0,0.0,0.0,436.04838342272444,0.0,-11.024909452425138
130,0,0.0,0.0,17.271154298332625,0.0,5.836039190663969,0.0
131,0,0.0,0.0,0.0,73.32615177489318,0.0,-11.024909452425138
132,0,0.0,0.0,0.0,25.815779495598317,0.0,-11.024909452425138
133,0,0.0,0.0,0.0,504.1210085470897,0.0,-11.024909452425138
134,0,0.0,0.0,0.0,661.1193657392816,0.0,-11.024909452425138
135,0,0.0,0.0,0.0,589.1665144429264,0.0,-11.024909452425138
136,0,0.0,0.0,0.0,861.2064771171215,0.0,-11.024909452425138
137,0,0.0,0.0,0.0,617.0244565672864,0.0,-11.024909452425138
138,0,0.0,0.0,0.0,797.5671723381455,0.0,-11.024909452425138
139,0,0.0,0.0,0.0,29.7078607377919,0.0,-11.024909452425138
140,0,0.0,0.0,0.0,56.255878966407444,0.0,-11.024909452425138
141,0,0.0,0.0,0.0,871.7375664038107,0.0,-11.024909452425138
142,0,0.0,0.0,0.0,242.49102559627053,0.0,-11.024909452425138
143,0,0.0,0.0,0.0,82.96177405511605,0.0,-11.024909452425138
144,0,0.0,0.0,0.0,841.6144848124607,0.0,-11.024909452425138
145,0,0.0,0.0,0.0,897.994479717625,0.0,-11.024909452425138
146,0,0.0,0.0,0.0,524.046977512799,0.0,-11.024909452425138
147,0,0.0,0.0,0.0,241.5515708064691,0.0,-11.024909452425138
148,0,0.0,0.0,0.0,564.9015784103831,0.0,-11.024909452425138
149,0,0.0,0.0,97.55096826377462,0.0,5.836039190663969,0.0
150,0,0.0,0.0,20.11640907333701,0.0,5.836039190663969,0.0
151,0,0.0,0.0,0.0,368.50226281612004,0.0,-11.024909452425138
152,0,0.0,0.0,0.0,910.266747314193,0.0,-11.024909452425138
153,0,0.0,0.0,0.0,321.04647819349964,0.0,-11.024909452425138
154,0,0.0,0.0,0.0,42.185151450795104,0.0,-11.024909452425138
155,0,0.0,0.0,0.0,388.82127950014393,0.0,-11.024909452425138
156,0,0.0,0.0,0.0,230.18233896995986,0.0,-11.024909452425138
157,0,0.0,0.0,0.0,18.985159150443515,0.0,-11.024909452425138
158,0,0.0,0.0,0.0,390.01217602734596,0.0,-11.024909452425138
159,0,0.0,0.0,0.0,330.70679150639967,0.0,-11.024909452425138
160,0,0.0,0.0,0.0,745.4292547625702,0.0,-11.024909452425138
161,0,0.0,0.0,0.41697253840802717,0.0,5.836039190663969,0.0
162,0,0.0,0.0,0.0,351.0361387172723,0.0,-11.024909452425138
163,0,0.0,0.0,0.0,304.68586036057013,0.0,-11.024909452425138
164,0,0.0,0.0,0.0,633.5483707743243,0.0,-11.024909452425138
