period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,443.606477243528,0.0,-11.024909452425138
2,0,0.0,0.0,0.0,421.97002416457883,0.0,-11.024909452425138
3,0,0.0,0.0,0.0,666.6322758642242,0.0,-11.024909452425138
4,0,0.0,0.0,0.0,261.1091829904691,0.0,-11.024909452425138
5,0,0.0,0.0,0.0,562.1690028841949,0.0,-11.024909452425138
6,0,0.0,0.0,0.0,266.91121206463055,0.0,-11.024909452425138
7,0,0.0,0.0,0.0,695.2387627082384,0.0,-11.024909452425138
8,0,0.0,0.0,0.0,481.13001660081716,0.0,-11.024909452425138
9,0,0.0,0.0,0.0,753.6771019754158,0.0,-11.024909452425138
10,0,0.0,0.0,0.0,592.7094095568451,0.0,-11.024909452425138
11,0,0.0,0.0,0.0,206.0286287370354,0.0,-11.024909452425138
12,0,0.0,0.0,0.0,73.761642238544,0.0,-11.024909452425138
13,0,0.0,0.0,0.0,152.68289836649748,0.0,-11.024909452425138
14,0,0.0,0.0,0.0,324.17030740939487,0.0,-11.024909452425138
15,0,0.0,0.0,0.0,526.3266131378097,0.0,-11.024909452425138
16,0,0.0,0.0,0.0,847.776920742903,0.0,-11.024909452425138
17,0,0.0,0.0,0.0,490.47910362923466,0.0,-11.024909452425138
18,0,0.0,0.0,0.0,169.60002294969485,0.0,-11.024909452425138
19,0,0.0,0.0,0.0,6.973592552412744,0.0,-11.024909452425138
20,0,0.0,0.0,0.0,350.4626542613916,0.0,-11.024909452425138
21,0,0.0,0.0,0.0,407.0171441448536,0.0,-11.024909452425138
22,0,0.0,0.0,0.0,185.8494969174103,0.0,-11.024909452425138
23,0,0.0,0.0,0.0,1100.6658623049718,0.0,-11.024909452425138
24,0,0.0,0.0,0.0,942.6559948298511,0.0,-11.024909452425138
25,0,0.0,0.0,0.0,333.7838805441213,0.0,-11.024909452425138
26,0,0.0,0.0,0.0,507.5000994867941,0.0,-11.024909452425138
27,0,0.0,0.0,0.0,514.5757615335851,0.0,-11.024909452425138
28,0,0.0,0.0,0.0,18.29126921867554,0.0,-11.024909452425138
29,0,0.0,0.0,0.0,602.7651329518452,0.0,-11.024909452425138
30,0,0.0,0.0,0.0,749.6173293011949,0.0,-11.024909452425138
31,0,0.0,0.0,0.0,3.577498339408534,0.0,-11.024909452425138
32,0,0.0,0.0,0.0,510.84310803680336,0.0,-11.024909452425138
33,0,0.0,0.0,0.0,946.8363704562064,0.0,-11.024909452425138
34,0,0.0,0.0,0.0,496.5528970069819,0.0,-11.024909452425138
35,0,0.0,0.0,0.0,835.4986561294759,0.0,-11.024909452425138
36,0,0.0,0.0,0.0,688.9994791508112,0.0,-11.024909452425138
37,0,0.0,0.0,0.0,1050.1116799963118,0.0,-11.024909452425138
38,0,0.0,0.0,0.0,18.93929139930943,0.0,-11.024909452425138
39,0,0.0,0.0,0.0,139.17345785519714,0.0,-11.024909452425138
40,0,0.0,0.0,0.0,769.1104078715341,0.0,-11.024909452425138
