period,product_id,fixed_cost,purchase_cost,holding_cost,stockout_cost,holding_cost_gradient,stockout_cost_gradient
1,0,0.0,0.0,0.0,0.7919276951266621,0.0,-6.0
2,0,0.0,0.0,0.0,0.7577943381709455,0.0,-6.0
3,0,0.0,0.0,0.41156419724499593,0.0,1.0,0.0
4,0,0.0,0.0,0.22292573593575038,0.0,1.0,0.0
5,0,0.0,0.0,0.0,0.6447306214984252,0.0,-6.0
6,0,0.0,0.0,0.08797473980964254,0.0,1.0,0.0
7,0,0.0,0.0,0.0,0.7068984475785507,0.0,-6.0
8,0,0.0,0.0,0.16472803687285686,0.0,1.0,0.0
9,0,0.0,0.0,0.0022945177546358497,0.0,1.0,0.0
10,0,0.0,0.0,0.7075031560137992,0.0,1.0,0.0
11,0,0.0,0.0,0.8036711724632541,0.0,1.0,0.0
12,0,0.0,0.0,0.7613308581836556,0.0,1.0,0.0
13,0,0.0,0.0,0.07278770400309897,0.0,1.0,0.0
14,0,0.0,0.0,0.15036053969955998,0.0,1.0,0.0
15,0,0.0,0.0,0.7283367013096252,0.0,1.0,0.0
16,0,0.0,0.0,0.8651128835399957,0.0,1.0,0.0
17,0,0.0,0.0,0.025257933928962917,0.0,1.0,0.0
18,0,0.0,0.0,0.0,0.23440729211980216,0.0,-6.0
19,0,0.0,0.0,0.20135061952209932,0.0,1.0,0.0
20,0,0.0,0.0,0.04469042800878642,0.0,1.0,0.0
21,0,0.0,0.0,0.4780476757294395,0.0,1.0,0.0
22,0,0.0,0.0,0.5955177934087137,0.0,1.0,0.0
23,0,0.0,0.0,0.8072977211701803,0.0,1.0,0.0
24,0,0.0,0.0,0.0,0.55006496376516,0.0,-6.0
25,0,0.0,0.0,0.0,0.57556163609473,0.0,-6.0
26,0,0.0,0.0,0.6678575759631147,0.0,1.0,0.0
27,0,0.0,0.0,0.11602985326531223,0.0,1.0,0.0
28,0,0.0,0.0,0.5430883539809624,0.0,1.0,0.0
29,0,0.0,0.0,0.7462167538148813,0.0,1.0,0.0
30,0,0.0,0.0,0.5632143113089266,0.0,1.0,0.0
31,0,0.0,0.0,0.0,0.40740508124268904,0.0,-6.0
32,0,0.0,0.0,0.212186196392547,0.0,1.0,0.0
33,0,0.0,0.0,0.7537520613500923,0.0,1.0,0.0
34,0,0.0,0.0,0.004764978859886804,0.0,1.0,0.0
35,0,0.0,0.0,0.6305476003189682,0.0,1.0,0.0
36,0,0.0,0.0,0.0,0.5645119827116607,0.0,-6.0
37,0,0.0,0.0,0.0,0.40073663844355556,0.0,-6.0
38,0,0.0,0.0,0.4303301106427899,0.0,1.0,0.0
39,0,0.0,0.0,0.09788800322505442,0.0,1.0,0.0
40,0,0.0,0.0,0.7502396239339699,0.0,1.0,0.0
41,0,0.0,0.0,0.3841230431968031,0.0,1.0,0.0
42,0,0.0,0.0,0.32664045028083555,0.0,1.0,0.0
43,0,0.0,0.0,0.6110713879114135,0.0,1.0,0.0
44,0,0.0,0.0,0.4819473341514582,0.0,1.0,0.0
45,0,0.0,0.0,0.26346541286775416,0.0,1.0,0.0
46,0,0.0,0.0,0.842718292594926,0.0,1.0,0.0
47,0,0.0,0.0,0.7991418070398241,0.0,1.0,0.0
48,0,0.0,0.0,0.2487755853542274,0.0,1.0,0.0
49,0,0.0,0.0,0.39376811487009755,0.0,1.0,0.0
50,0,0.0,0.0,0.3154325323845282,0.0,1.0,0.0
51,0,0.0,0.0,0.7451190549410791,0.0,1.0,0.0
52,0,0.0,0.0,0.12323149678545797,0.0,1.0,0.0
53,0,0.0,0.0,0.0,0.698579875940748,0.0,-6.0
54,0,0.0,0.0,0.48419933200445964,0.0,1.0,0.0
55,0,0.0,0.0,0.25004224044723433,0.0,1.0,0.0
56,0,0.0,0.0,0.8669020445127329,0.0,1.0,0.0
57,0,0.0,0.0,0.7195143181603181,0.0,1.0,0.0
58,0,0.0,0.0,0.5278389544118619,0.0,1.0,0.0
59,0,0.0,0.0,0.7256375240051818,0.0,1.0,0.0
60,0,0.0,0.0,0.2888567363650789,0.0,1.0,0.0
61,0,0.0,0.0,0.6815065520297693,0.0,1.0,0.0
62,0,0.0,0.0,0.5987121920112638,0.0,1.0,0.0
63,0,0.0,0.0,0.3813637874904622,0.0,1.0,0.0
64,0,0.0,0.0,0.21123548675214754,0.0,1.0,0.0
65,0,0.0,0.0,0.0,0.7364546541776511,0.0,-6.0
66,0,0.0,0.0,0.5819012586596094,0.0,1.0,0.0
67,0,0.0,0.0,0.393844142906837,0.0,1.0,0.0
68,0,0.0,0.0,0.6326380983019381,0.0,1.0,0.0
69,0,0.0,0.0,0.0,0.16917204088963578,0.0,-6.0
70,0,0.0,0.0,0.6218500951484904,0.0,1.0,0.0
71,0,0.0,0.0,0.3074045988372621,0.0,1.0,0.0
72,0,0.0,0.0,0.49510668769814414,0.0,1.0,0.0
73,0,0.0,0.0,0.8369801567339146,0.0,1.0,0.0
74,0,0.0,0.0,0.5288831670525428,0.0,1.0,0.0
75,0,0.0,0.0,0.024384273478091134,0.0,1.0,0.0
76,0,0.0,0.0,0.01772264061702844,0.0,1.0,0.0
77,0,0.0,0.0,0.709394783498436,0.0,1.0,0.0
78,0,0.0,0.0,0.5812198275236751,0.0,1.0,0.0
79,0,0.0,0.0,0.24140562094557483,0.0,1.0,0.0
80,0,0.0,0.0,0.0,0.18863650132094834,0.0,-6.0
81,0,0.0,0.0,0.6876216430275046,0.0,1.0,0.0
82,0,0.0,0.0,0.010707576031486088,0.0,1.0,0.0
83,0,0.0,0.0,0.6927647290783718,0.0,1.0,0.0
84,0,0.0,0.0,0.8456540512166721,0.0,1.0,0.0
85,0,0.0,0.0,0.5387101728200859,0.0,1.0,0.0
86,0,0.0,0.0,0.6838320157279355,0.0,1.0,0.0
87,0,0.0,0.0,0.5805869617302702,0.0,1.0,0.0
88,0,0.0,0.0,0.2566520716880689,0.0,1.0,0.0
89,0,0.0,0.0,0.2064051464281058,0.0,1.0,0.0
90,0,0.0,0.0,0.8213280359215184,0.0,1.0,0.0
91,0,0.0,0.0,0.5961127824885328,0.0,1.0,0.0
92,0,0.0,0.0,0.24924649830971624,0.0,1.0,0.0
93,0,0.0,0.0,0.0,0.3625005273882105,0.0,-6.0
94,0,0.0,0.0,0.0,0.1647327884403793,0.0,-6.0
95,0,0.0,0.0,0.0,0.5047979306043229,0.0,-6.0
96,0,0.0,0.0,0.8836937080730718,0.0,1.0,0.0
97,0,0.0,0.0,0.1530725562811016,0.0,1.0,0.0
98,0,0.0,0.0,0.328203697288758,0.0,1.0,0.0
99,0,0.0,0.0,0.13309924861528066,0.0,1.0,0.0
100,0,0.0,0.0,0.7510101702192186,0.0,1.0,0.0
101,0,0.0,0.0,0.001256648007657457,0.0,1.0,0.0
102,0,0.0,0.0,0.6986520619035831,0.0,1.0,0.0
103,0,0.0,0.0,0.6241560631330807,0.0,1.0,0.0
104,0,0.0,0.0,0.0,0.5339425220331204,0.0,-6.0
105,0,0.0,0.0,0.0,0.5077948129912162,0.0,-6.0
106,0,0.0,0.0,0.0,0.08348179233298669,0.0,-6.0
107,0,0.0,0.0,0.5311238088807462,0.0,1.0,0.0
108,0,0.0,0.0,0.26415759409197914,0.0,1.0,0.0
109,0,0.0,0.0,0.21602153958682158,0.0,1.0,0.0
110,0,0.0,0.0,0.8256946915898964,0.0,1.0,0.0
111,0,0.0,0.0,0.36748395988087945,0.0,1.0,0.0
112,0,0.0,0.0,0.40611190049690893,0.0,1.0,0.0
113,0,0.0,0.0,0.4473386115036231,0.0,1.0,0.0
114,0,0.0,0.0,0.5030867175165776,0.0,1.0,0.0
115,0,0.0,0.0,0.4002851317471807,0.0,1.0,0.0
116,0,0.0,0.0,0.014754930729361848,0.0,1.0,0.0
117,0,0.0,0.0,0.3162937803200555,0.0,1.0,0.0
118,0,0.0,0.0,0.25503597979653947,0.0,1.0,0.0
119,0,0.0,0.0,0.7628268557176685,0.0,1.0,0.0
120,0,0.0,0.0,0.47601153394081064,0.0,1.0,0.0
121,0,0.0,0.0,0.1844812698714141,0.0,1.0,0.0
122,0,0.0,0.0,0.3454536667210589,0.0,1.0,0.0
123,0,0.0,0.0,0.5404722059427303,0.0,1.0,0.0
124,0,0.0,0.0,0.47912978618935254,0.0,1.0,0.0
125,0,0.0,0.0,0.8605148619875312,0.0,1.0,0.0
126,0,0.0,0.0,0.0,0.3762414330292694,0.0,-6.0
127,0,0.0,0.0,0.703632145630238,0.0,1.0,0.0
128,0,0.0,0.0,0.3731664992191256,0.0,1.0,0.0
129,0,0.0,0.0,0.7403361009679117,0.0,1.0,0.0
130,0,0.0,0.0,0.49985272059709385,0.0,1.0,0.0
131,0,0.0,0.0,0.8048570678090512,0.0,1.0,0.0
132,0,0.0,0.0,0.8176678601101012,0.0,1.0,0.0
133,0,0.0,0.0,0.8405508389904219,0.0,1.0,0.0
134,0,0.0,0.0,0.29576780493834565,0.0,1.0,0.0
135,0,0.0,0.0,0.474731120745968,0.0,1.0,0.0
136,0,0.0,0.0,0.7203366400085153,0.0,1.0,0.0
137,0,0.0,0.0,0.5875761259188524,0.0,1.0,0.0
138,0,0.0,0.0,0.18955344113828654,0.0,1.0,0.0
139,0,0.0,0.0,0.8418333466178781,0.0,1.0,0.0
140,0,0.0,0.0,0.594071934530596,0.0,1.0,0.0
141,0,0.0,0.0,0.4764967781759404,0.0,1.0,0.0
142,0,0.0,0.0,0.5811797075135663,0.0,1.0,0.0
143,0,0.0,0.0,0.0,0.379905651156347,0.0,-6.0
144,0,0.0,0.0,0.0,0.48061679505400523,0.0,-6.0
145,0,0.0,0.0,0.5819048540372731,0.0,1.0,0.0
146,0,0.0,0.0,0.3593696438028602,0.0,1.0,0.0
147,0,0.0,0.0,0.4985649242659107,0.0,1.0,0.0
148,0,0.0,0.0,0.10361388895391466,0.0,1.0,0.0
149,0,0.0,0.0,0.5669614766968136,0.0,1.0,0.0
150,0,0.0,0.0,0.7225028680852198,0.0,1.0,0.0
151,0,0.0,0.0,0.7385595546322964,0.0,1.0,0.0
152,0,0.0,0.0,0.7277755556327392,0.0,1.0,0.0
